idx_item;codigo_interno_oc;descricao_original;descricao_reconstruida;quantidade;unidade_original;unidade_normalizada;valor_unitario;valor_total;pagina;linhas_origem;score_extracao;status_extracao;observacoes;descricao_oc;quantidade_oc;unidade_oc;codigo_oc;match_encontrado;codigo_krona;descricao_krona;descricao_krona_normalizada;linha_krona_match;familia_krona_match;unidade_venda_krona;quantidade_embalagem_krona;score_estrutura;score_textual;score_total;tipo_match;revisao_manual;motivo_match;categoria_krona;eh_tubo_krona;diametro_krona_mm;comprimento_krona_m;quantidade_original_oc;unidade_original_oc;quantidade_ajustada;tipo_quantidade;fator_conversao_quantidade;unidade_venda_considerada;quantidade_convertida;conversao_aplicada;observacao_conversao;revisao_unidade;quantidade_final
110;1101545;"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:40MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:40MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";300.0;UN;UN;1.06;318.0;5;[20, 21, 22, 23, 24, 25, 26, 27];0.92;ok;['observacao_comercial_detectada', 'texto_observacao=SOLUCAO LIMPEZA PREPARADORA 1000ML', 'bloco_encerrado_por_separador', 'validacao:total_confere'];"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:40MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";300.0;UN;1101545;True;611;JOELHO 45 ESGOTO SEC - DN 40;JOELHO 45 ESGOTO SECUNDARIO - DN 40;CONEXOES ESGOTO SECUNDARIO;ESGOTO;PC;25.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;JOELHO;False;40.0;0.06;300.0;UN;300.0;ORIGINAL_NAO_TUBO;;PC;300.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;300.0
120;1101546;"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:50MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:50MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";960.0;UN;UN;1.6;1536.0;5;[28, 29, 30, 31, 32];0.8;ok_com_ressalvas;['bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:total_confere'];"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:50MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";960.0;UN;1101546;True;612;JOELHO 45 ESGOTO PRIM - DN 50;JOELHO 45 ESGOTO PRIMARIO - DN 50;CONEXOES ESGOTO PRIMARIO;ESGOTO;PC;25.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;JOELHO;False;50.0;0.0545;960.0;UN;960.0;ORIGINAL_NAO_TUBO;;PC;960.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;960.0
130;1107966;"LUVA PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:20MMX1/2BSP;ACESSORIO:C/BU CHA LATAO;DADOS EXTRAS:NORMA:NBR 5648";"LUVA PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:20MMX1/2BSP;ACESSORIO:C/BU CHA LATAO;DADOS EXTRAS:NORMA:NBR 5648";500.0;UN;UN;2.85;1425.0;6;[18, 19, 20, 21, 22, 23, 24, 25];0.92;ok;['observacao_comercial_detectada', 'texto_observacao=SOLUCAO LIMPEZA PREPARADORA 1000ML', 'bloco_encerrado_por_separador', 'validacao:total_confere'];"LUVA PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:20MMX1/2BSP;ACESSORIO:C/BU CHA LATAO;DADOS EXTRAS:NORMA:NBR 5648";500.0;UN;1107966;True;501;LUVA SOLD C/BUCHA LATAO 20MM X 1/2;LUVA SOLDAVEL C BUCHA LATAO 20MM X 1 2;CONEXOES SOLD.C/ BUCHA DE LATAO;AF;PC;20.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;LUVA;False;20.0;0.031;500.0;UN;500.0;ORIGINAL_NAO_TUBO;;PC;500.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;500.0
140;1116962;"ADESIVO PLASTICO P/PVC;CARACTERISTICA CONSTRUTIVA:RESINA AZUL;APRESENTACAO:EMBALAGEM 850G;DADOS EXTRAS:USO:TUBO.;FABRICANTE/REFERENCIA:AMANCO/99684";"ADESIVO PLASTICO P/PVC;CARACTERISTICA CONSTRUTIVA:RESINA AZUL;APRESENTACAO:EMBALAGEM 850G;DADOS EXTRAS:USO:TUBO.;FABRICANTE/REFERENCIA:AMANCO/99684";25.0;UN;UN;34.07;851.75;6;[26, 27, 28, 29, 30, 31, 32, 33];0.92;ok;['observacao_comercial_detectada', 'texto_observacao=SOLUCAO LIMPEZA PREPARADORA 1000ML', 'bloco_encerrado_por_separador', 'validacao:total_confere'];"ADESIVO PLASTICO P/PVC;CARACTERISTICA CONSTRUTIVA:RESINA AZUL;APRESENTACAO:EMBALAGEM 850G;DADOS EXTRAS:USO:TUBO.;FABRICANTE/REFERENCIA:AMANCO/99684";25.0;UN;1116962;True;519;ADESIVO FRASCO 850 G;ADESIVO FRASCO 850 G;ADESIVOS E COMPLEMENTOS;AF;PC;6.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;ADESIVO;False;;0.095;25.0;UN;25.0;ORIGINAL_NAO_TUBO;;PC;25.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;25.0
150;1202594;;;25.0;UN;UN;33.05;826.25;6;[34];0.8;ok_com_ressalvas;['descricao_vazia_ou_nao_reconstruida', 'bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:descricao_ausente', 'validacao:total_confere'];;25.0;UN;1202594;True;521;SOLUCAO PREPARADORA 1000 ML;SOLUCAO PREPARADORA 1000 ML;ADESIVOS E COMPLEMENTOS;AF;PC;6.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;;False;;0.098;25.0;UN;25.0;ORIGINAL_NAO_TUBO;;PC;25.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;25.0
160;1101510;"BUCHA REDUCAO PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;TIPO CONEXAO:JUNTA ELASTICA;DIAMETRO/ROSCA:50X40MM;SERIE:NORMAL;CONSTRUCAO:LONGA;DADOS EXTRAS:NORMAS:NBR 7362/5688";"BUCHA REDUCAO PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;TIPO CONEXAO:JUNTA ELASTICA;DIAMETRO/ROSCA:50X40MM;SERIE:NORMAL;CONSTRUCAO:LONGA;DADOS EXTRAS:NORMAS:NBR 7362/5688";160.0;UN;UN;1.26;201.6;7;[21, 22, 23, 24, 25, 26, 27, 28];0.92;ok;"['observacao_comercial_detectada', 'texto_observacao=PASTA LUBRIFICANTE;ACID GRAX;TUB;EMB 1KG', 'bloco_encerrado_por_separador', 'validacao:total_confere']";"BUCHA REDUCAO PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;TIPO CONEXAO:JUNTA ELASTICA;DIAMETRO/ROSCA:50X40MM;SERIE:NORMAL;CONSTRUCAO:LONGA;DADOS EXTRAS:NORMAS:NBR 7362/5688";160.0;UN;1101510;True;592;BUCHA RED.LONGA P/ESGOTO DN 50 X 40;BUCHA RED.LONGA P ESGOTO DN 50 X 40;CONEXOES ESGOTO SECUNDARIO;ESGOTO;PC;25.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;BUCHA;False;50.0;0.0507;160.0;UN;160.0;ORIGINAL_NAO_TUBO;;PC;160.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;160.0
170;1101526;"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:100MM;SERIE:NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:100MM;SERIE:NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";320.0;UN;UN;3.86;1235.2;7;[29, 30, 31, 32, 33];0.8;ok_com_ressalvas;['bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:total_confere'];"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:100MM;SERIE:NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";320.0;UN;1101526;True;614;JOELHO 45 ESGOTO PRIM - DN 100;JOELHO 45 ESGOTO PRIMARIO - DN 100;CONEXOES ESGOTO PRIMARIO;ESGOTO;PC;10.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;JOELHO;False;100.0;0.115;320.0;UN;320.0;ORIGINAL_NAO_TUBO;;PC;320.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;320.0
190;1101556;"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:50MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMAS:NBR 7362/5688";"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:50MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMAS:NBR 7362/5688";320.0;UN;UN;1.51;483.2;8;[18, 19, 20, 21, 22, 23, 24, 25];0.92;ok;"['observacao_comercial_detectada', 'texto_observacao=PASTA LUBRIFICANTE;ACID GRAX;TUB;EMB 1KG', 'bloco_encerrado_por_separador', 'validacao:total_confere']";"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:50MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMAS:NBR 7362/5688";320.0;UN;1101556;True;617;JOELHO 90 ESGOTO PRIM - DN 50;JOELHO 90 ESGOTO PRIMARIO - DN 50;CONEXOES ESGOTO PRIMARIO;ESGOTO;PC;25.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;JOELHO;False;50.0;0.1015;320.0;UN;320.0;ORIGINAL_NAO_TUBO;;PC;320.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;320.0
200;1101558;"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:100MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:100MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";160.0;UN;UN;3.93;628.8;8;[26, 27, 28, 29, 30, 31, 32];0.8;ok_com_ressalvas;"['observacao_comercial_detectada', 'texto_observacao=PASTA LUBRIFICANTE;ACID GRAX;TUB;EMB 1KG', 'bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:total_confere']";"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:100MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";160.0;UN;1101558;True;619;JOELHO 90 ESGOTO PRIM - DN 100;JOELHO 90 ESGOTO PRIMARIO - DN 100;CONEXOES ESGOTO PRIMARIO;ESGOTO;PC;20.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;JOELHO;False;100.0;0.1653;160.0;UN;160.0;ORIGINAL_NAO_TUBO;;PC;160.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;160.0
210;1101578;"JUNCAO PVC RIGIDO SANEAMENTO;CONSTRUCAO:SIMPLES;APLICACAO:ESGOTO;CONEXAO:JUNTA ELASTICA;BITOLA:100X100MM;ANGULO:45GR;DADOS EXTRAS:SERIE NORMAL;NORMA:NBR 7362/5688";"JUNCAO PVC RIGIDO SANEAMENTO;CONSTRUCAO:SIMPLES;APLICACAO:ESGOTO;CONEXAO:JUNTA ELASTICA;BITOLA:100X100MM;ANGULO:45GR;DADOS EXTRAS:SERIE NORMAL;NORMA:NBR 7362/5688";160.0;UN;UN;13.73;2196.8;9;[16, 17, 18, 19, 20, 21, 22, 23];0.92;ok;"['observacao_comercial_detectada', 'texto_observacao=PASTA LUBRIFICANTE;ACID GRAX;TUB;EMB 1KG', 'bloco_encerrado_por_separador', 'validacao:total_confere']";"JUNCAO PVC RIGIDO SANEAMENTO;CONSTRUCAO:SIMPLES;APLICACAO:ESGOTO;CONEXAO:JUNTA ELASTICA;BITOLA:100X100MM;ANGULO:45GR;DADOS EXTRAS:SERIE NORMAL;NORMA:NBR 7362/5688";160.0;UN;1101578;True;629;JUNCAO 45 SIMPLES P/ESGOTO PRIM - DN 100X100;JUNCAO 45 SIMPLES P ESGOTO PRIMARIO - DN 100X100;CONEXOES ESGOTO PRIMARIO;ESGOTO;PC;10.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;;False;;0.23;160.0;UN;160.0;ORIGINAL_NAO_TUBO;;PC;160.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;160.0
220;1101582;"JUNCAO PVC RIGIDO SANEAMENTO;CONSTRUCAO:SIMPLES;APLICACAO:ESGOTO;CONEXAO:JUNTA ELASTICA;BITOLA:75X50MM;ANGULO:45GR;DADOS EXTRAS:SERIE NORMAL;NORMA:NBR 7362/5688";"JUNCAO PVC RIGIDO SANEAMENTO;CONSTRUCAO:SIMPLES;APLICACAO:ESGOTO;CONEXAO:JUNTA ELASTICA;BITOLA:75X50MM;ANGULO:45GR;DADOS EXTRAS:SERIE NORMAL;NORMA:NBR 7362/5688";160.0;UN;UN;9.8;1568.0;9;[24, 25, 26, 27, 28, 29, 30, 31];0.92;ok;"['observacao_comercial_detectada', 'texto_observacao=PASTA LUBRIFICANTE;ACID GRAX;TUB;EMB 1KG', 'bloco_encerrado_por_separador', 'validacao:total_confere']";"JUNCAO PVC RIGIDO SANEAMENTO;CONSTRUCAO:SIMPLES;APLICACAO:ESGOTO;CONEXAO:JUNTA ELASTICA;BITOLA:75X50MM;ANGULO:45GR;DADOS EXTRAS:SERIE NORMAL;NORMA:NBR 7362/5688";160.0;UN;1101582;True;638;JUNCAO RED.45 SIMPLES P/ESG.PRIM - DN 75X50;JUNCAO RED.45 SIMPLES P ESGOTO.PRIMARIO - DN 75X50;CONEXOES ESGOTO PRIMARIO;ESGOTO;PC;10.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;;False;;0.153;160.0;UN;160.0;ORIGINAL_NAO_TUBO;;PC;160.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;160.0
230;1101584;"JUNCAO PVC RIGIDO SANEAMENTO;CONSTRUCAO:SIMPLES;APLICACAO:ESGOTO;CONEXAO:JUNTA ELASTICA;BITOLA:100X50MM;ANGULO:45GR;DADOS EXTRAS:SERIE NORMAL;NORMA:NBR 7362/5688";"JUNCAO PVC RIGIDO SANEAMENTO;CONSTRUCAO:SIMPLES;APLICACAO:ESGOTO;CONEXAO:JUNTA ELASTICA;BITOLA:100X50MM;ANGULO:45GR;DADOS EXTRAS:SERIE NORMAL;NORMA:NBR 7362/5688";160.0;UN;UN;9.55;1528.0;9;[32, 33, 34];0.8;ok_com_ressalvas;['bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:total_confere'];"JUNCAO PVC RIGIDO SANEAMENTO;CONSTRUCAO:SIMPLES;APLICACAO:ESGOTO;CONEXAO:JUNTA ELASTICA;BITOLA:100X50MM;ANGULO:45GR;DADOS EXTRAS:SERIE NORMAL;NORMA:NBR 7362/5688";160.0;UN;1101584;True;639;JUNCAO RED.45 SIMPLES P/ESG.PRIM - DN 100X50;JUNCAO RED.45 SIMPLES P ESGOTO.PRIMARIO - DN 100X50;CONEXOES ESGOTO PRIMARIO;ESGOTO;PC;10.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;;False;;0.1755;160.0;UN;160.0;ORIGINAL_NAO_TUBO;;PC;160.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;160.0
250;1101592;"LUVA PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA/BOLSA;DIAMETRO/ROSCA:40MM;SERIE:N ORMAL;DADOS EXTRAS:MODELO:SIMPLES;NORMA:NBR 7362/5688";"LUVA PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA/BOLSA;DIAMETRO/ROSCA:40MM;SERIE:N ORMAL;DADOS EXTRAS:MODELO:SIMPLES;NORMA:NBR 7362/5688";160.0;UN;UN;0.84;134.4;10;[20, 21, 22, 23, 24, 25, 26, 27];0.92;ok;"['observacao_comercial_detectada', 'texto_observacao=PASTA LUBRIFICANTE;ACID GRAX;TUB;EMB 1KG', 'bloco_encerrado_por_separador', 'validacao:total_confere']";"LUVA PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA/BOLSA;DIAMETRO/ROSCA:40MM;SERIE:N ORMAL;DADOS EXTRAS:MODELO:SIMPLES;NORMA:NBR 7362/5688";160.0;UN;1101592;True;644;LUVA ESGOTO SEC. - DN 40;LUVA ESGOTO SECUNDARIO. - DN 40;CONEXOES ESGOTO SECUNDARIO;ESGOTO;PC;25.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;LUVA;False;40.0;0.046;160.0;UN;160.0;ORIGINAL_NAO_TUBO;;PC;160.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;160.0
260;1101593;"LUVA PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA/BOLSA;DIAMETRO/ROSCA:50MM;SERIE:N ORMAL;DADOS EXTRAS:MODELO:SIMPLES;NORMA:NBR 7362/5688";"LUVA PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA/BOLSA;DIAMETRO/ROSCA:50MM;SERIE:N ORMAL;DADOS EXTRAS:MODELO:SIMPLES;NORMA:NBR 7362/5688";800.0;UN;UN;1.02;816.0;10;[28, 29, 30, 31, 32];0.8;ok_com_ressalvas;['bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:total_confere'];"LUVA PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA/BOLSA;DIAMETRO/ROSCA:50MM;SERIE:N ORMAL;DADOS EXTRAS:MODELO:SIMPLES;NORMA:NBR 7362/5688";800.0;UN;1101593;True;645;LUVA ESGOTO PRIM. - DN 50;LUVA ESGOTO PRIMARIO. - DN 50;CONEXOES ESGOTO PRIMARIO;ESGOTO;PC;25.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;LUVA;False;50.0;0.063;800.0;UN;800.0;ORIGINAL_NAO_TUBO;;PC;800.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;800.0
270;1101595;"LUVA PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA/BOLSA;DIAMETRO/ROSCA:100MM;SERIE: NORMAL;DADOS EXTRAS:MODELO:SIMPLES;NORMA:NBR 7362/5688";"LUVA PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA/BOLSA;DIAMETRO/ROSCA:100MM;SERIE: NORMAL;DADOS EXTRAS:MODELO:SIMPLES;NORMA:NBR 7362/5688";320.0;UN;UN;1.89;604.8;11;[18, 19, 20, 21, 22, 23, 24, 25];0.92;ok;"['observacao_comercial_detectada', 'texto_observacao=PASTA LUBRIFICANTE;ACID GRAX;TUB;EMB 1KG', 'bloco_encerrado_por_separador', 'validacao:total_confere']";"LUVA PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA/BOLSA;DIAMETRO/ROSCA:100MM;SERIE: NORMAL;DADOS EXTRAS:MODELO:SIMPLES;NORMA:NBR 7362/5688";320.0;UN;1101595;True;647;LUVA ESGOTO PRIM. - DN 100;LUVA ESGOTO PRIMARIO. - DN 100;CONEXOES ESGOTO PRIMARIO;ESGOTO;PC;10.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;LUVA;False;100.0;0.1147;320.0;UN;320.0;ORIGINAL_NAO_TUBO;;PC;320.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;320.0
280;1101619;"TE PVC RIGIDO PREDIAL;ANGULACAO:90GR;P/:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:50X50MM;DADOS EXTRAS:NORMA:NBR 7362/5688;S/ROSCA;SERIE:NORMAL";"TE PVC RIGIDO PREDIAL;ANGULACAO:90GR;P/:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:50X50MM;DADOS EXTRAS:NORMA:NBR 7362/5688;S/ROSCA;SERIE:NORMAL";160.0;UN;UN;3.86;617.6;11;[26, 27, 28, 29, 30, 31, 32, 33];0.92;ok;"['observacao_comercial_detectada', 'texto_observacao=PASTA LUBRIFICANTE;ACID GRAX;TUB;EMB 1KG', 'bloco_encerrado_por_separador', 'validacao:total_confere']";"TE PVC RIGIDO PREDIAL;ANGULACAO:90GR;P/:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:50X50MM;DADOS EXTRAS:NORMA:NBR 7362/5688;S/ROSCA;SERIE:NORMAL";160.0;UN;1101619;True;659;TE ESGOTO PRIM. - DN 50X50;TE ESGOTO PRIMARIO. - DN 50X50;CONEXOES ESGOTO PRIMARIO;ESGOTO;PC;10.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;TE;False;;0.1105;160.0;UN;160.0;ORIGINAL_NAO_TUBO;;PC;160.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;160.0
290;1101634;;;100.0;UN;UN;23.7;2370.0;11;[34];0.8;ok_com_ressalvas;['descricao_vazia_ou_nao_reconstruida', 'bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:descricao_ausente', 'validacao:total_confere'];;100.0;UN;1101634;True;101;TUBO PVC ESGOTO PRIM. - 6M - DN 50;TUBO PVC ESGOTO PRIMARIO. - 6M - DN 50;TUBOS PVC ESGOTO;ESGOTO;BR;10.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;TUBO;True;50.0;6.0;100.0;UN;100.0;BARRA_DIRETA_OC_UN;1.0;BR;100.0;BARRA_DIRETA_OC_UN;BARRA_DIRETA_OC_UN;False;100.0
300;1101635;"TUBO PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:JUNTA ELASTICA;DIAMETRO/ROSCA:75MM;COMPRIMENTO:6000MM;DADOS EXTRAS:NORMA:NBR 7362/5688;SERIE NORMAL;COR:BRANCA";"TUBO PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:JUNTA ELASTICA;DIAMETRO/ROSCA:75MM;COMPRIMENTO:6000MM;DADOS EXTRAS:NORMA:NBR 7362/5688;SERIE NORMAL;COR:BRANCA";70.0;UN;UN;37.49;2624.3;12;[22, 23, 24, 25, 26, 27, 28, 29];0.92;ok;"['observacao_comercial_detectada', 'texto_observacao=PASTA LUBRIFICANTE;ACID GRAX;TUB;EMB 1KG', 'bloco_encerrado_por_separador', 'validacao:total_confere']";"TUBO PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:JUNTA ELASTICA;DIAMETRO/ROSCA:75MM;COMPRIMENTO:6000MM;DADOS EXTRAS:NORMA:NBR 7362/5688;SERIE NORMAL;COR:BRANCA";70.0;UN;1101635;True;102;TUBO PVC ESGOTO PRIM. - 6M - DN 75;TUBO PVC ESGOTO PRIMARIO. - 6M - DN 75;TUBOS PVC ESGOTO;ESGOTO;BR;5.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;TUBO;True;75.0;6.0;70.0;UN;70.0;BARRA_DIRETA_OC_UN;1.0;BR;70.0;BARRA_DIRETA_OC_UN;BARRA_DIRETA_OC_UN;False;70.0
310;1101636;TUBO PVC ESGOTO 6M 100MM (SERIE NORMAL) NBR 7362/5688;TUBO PVC ESGOTO 6M 100MM (SERIE NORMAL) NBR 7362/5688;170.0;UN;UN;52.49;8923.3;12;[30, 31, 32, 33, 34];0.8;ok_com_ressalvas;['bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:total_confere'];TUBO PVC ESGOTO 6M 100MM (SERIE NORMAL) NBR 7362/5688;170.0;UN;1101636;True;103;TUBO PVC ESGOTO PRIM. - 6M - DN 100;TUBO PVC ESGOTO PRIMARIO. - 6M - DN 100;TUBOS PVC ESGOTO;ESGOTO;BR;5.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;TUBO;True;100.0;6.0;170.0;UN;170.0;BARRA_DIRETA_OC_UN;1.0;BR;170.0;BARRA_DIRETA_OC_UN;BARRA_DIRETA_OC_UN;False;170.0
