CÓDIGO MRV;Código Krona;Código Tigre;Código Amanco;Descrição Curta;Descrição Longa;UMP;Embalagem Padrão;PR;SC;RS;MT;MS;GO;DF
1104601;482;22221035;98535;"UNIAO PVC RIG PRED;AG FR;SOLD;110MM";"UNIAO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:110MM;DADOS EXTRAS:COR: MARROM;CONFORME NORMA: NBR5648;NORMA:NBR 5648";UN;;247,84;247,84;247,84;247,84;247,84;213,919;213,919
1104611;1409;26751080;18309;"CURVA PVC RIG PRED;87GR;CT;ESG;75MM;REF";"CURVA PVC RIGIDO PREDIAL;ANGULO:87GR;RAIO:CURTO;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:75MM;SERIE:REFORCADA;DADOS EXTRAS:NORMAS:NBR 7362/5688";UN;;9,581;9,581;9,581;9,581;9,581;9,581;9,581
1104672;332;22000322;11509;"ADAPTADOR PVC RIG PRED;AG FR;32MMX1BSP";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:32MMX1BSP;DADOS EXTRAS:NORMA:NBR 5648;COR:MARROM;C/BOLSA;P/REGISTRO;NORMA:NBR 5648";UN;;1,027;1,027;1,027;1,027;1,027;0,983;0,983
1104828;;35267867;16429;"LUVA PVC RIG PRED;AG FR;32MMX1BSP";"LUVA PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:32MMX1BSP;ACESSORIO:C/BUCH A LATAO;DADOS EXTRAS:NORMA:NBR 5648";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1104834;874;22217011;17849;"TE RED PVC RIG PRED;90GR;AG FR;60X25MM";"TE REDUCAO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:60X25MM;DADOS EXTRAS:COR:MARROM;NORMA:NBR 5648";UN;;11,366;11,366;11,366;11,366;11,366;10,898;10,898
1104835;473;22217275;17851;"TE RED PVC RIG PRED;90GR;AG FR;75X60MM";"TE REDUCAO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:75X60MM;DADOS EXTRAS:COR: MARROM;NORMA:NBR 5648";UN;;68,178;68,178;68,178;68,178;68,178;68,178;68,178
1104836;873;22217542;17855;"TE RED PVC RIG PRED;90GR;AG FR;110X75MM";"TE REDUCAO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:110X75MM;DADOS EXTRAS:COR:MARROM;NORMA:NBR 5648";UN;;232,402;232,402;232,402;232,402;232,402;195,877;195,877
1104847;361;22066765;11533;"BUCHA RED PVC RIG PRED;AG FR;32X25MM;CT";"BUCHA REDUCAO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:32X25MM;CONSTRUCAO:CURTA;DADOS EXTRAS:COR: MARROM;NORMA:NBR 5648";UN;;0,494;0,494;0,494;0,494;0,494;0,494;0,494
1104848;379;;;"BUCHA RED PVC RIG PRED;AG FR;110X60MM;LG";"BUCHA REDUCAO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:110X60MM;CONSTRUCAO:LONGA;DADOS EXTRAS:NORMA:NBR 5648;FABRICANTE/REFERENCIA:AMANCO/11539";UN;;43,589;43,589;43,589;43,589;43,589;43,589;43,589
1104850;383;22080253;11570;"CAP PVC RIG PRED;AG FR;SOLD;25MM";"CAP PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:25MM;DADOS EXTRAS:COR:MARROM;EMBALAGEM:50 UNIDADES;NORMA:NBR 5648";UN;;0,697;0,697;0,697;0,697;0,697;0,697;0,697
1104854;414;22121030;90008;"CURVA PVC RIG PRED;90GR;AG FR;SOLD;110MM";"CURVA PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:110MM;DADOS EXTRAS:NORMA:NBR 5648";UN;;135,878;135,878;135,878;135,878;135,878;110,075;110,075
1104857;623;27560423;11651;"JOELHO PVC RIG PRED;90GR;ESG;40MM";"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:ESGOTO;CONEXAO:ANEL INTEGRADO;DIAMETRO/ROSCA:40MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";UN;;2,713;2,713;2,713;2,713;2,713;2,962;2,962
1104860;651;26320755;11711;"LUVA CORR PVC RIG SAN;ESG;BOLS/BOLS;75MM";"LUVA CORRER PVC RIGIDO SANEAMENTO;APLICACAO:ESGOTO;CONEXAO:BOLSA/BOLSA;DIAMETRO:75MM;DADOS EXTRAS:SERIE NORMAL;NORMA:NBR 7362/5688";UN;;6,789;6,789;6,789;6,789;6,789;7,061;7,061
1104863;390;22081039;11568;"CAP PVC RIG PRED;AG FR;SOLD;110MM";"CAP PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:110MM;DADOS EXTRAS:NORMA:NBR 5648";UN;;85,754;85,754;85,754;85,754;85,754;69,139;69,139
1104902;400;22110853;90117;"CURVA PVC RIG PRED;45GR;AG FR;SOLD;85MM";"CURVA PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:85MM;DADOS EXTRAS:NORMA:NBR 5648";UN;;48,872;48,872;48,872;48,872;48,872;48,872;48,872
1104975;1429;26751381;11708;"JUNCAO PVC RIG SAN;SIMP;ESG;75X75MM;45GR";"JUNCAO PVC RIGIDO SANEAMENTO;CONSTRUCAO:SIMPLES;REFORCO:C/REFORCO;APLICACAO:ESGOTO;CONEXAO :JUNTA ELASTICA;BITOLA:75X75MM;ANGULO:45GR;DADOS EXTRAS:NORMA:NBR 7362/5688";UN;;14,109;14,109;14,109;14,109;14,109;13,988;13,988
1104994;;;;"ADAPTADOR PVC RIG PRED;CX AGUA;32MMX1BSP";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:CAIXA AGUA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:32MMX1BSP;DADOS EXTRAS:C/ANEL;NORMA:NBR 5648";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1105100;1340;22850610;20237;"CONECTOR;TRANSIC;CPVC;15MMX1/2POL";"CONECTOR;TIPO:TRANSICAO;MATERIAL:CPVC;DIMENSIONAL:15MMX1/2POL;DADOS EXTRAS:P/AGUA QUENTE/FRIA;CONEXAO:MACHO;NORMA:NBR 15884";UN;;9,495;9,495;9,495;9,495;9,495;8,656;8,656
1105191;498;35217835;11680;"JOELHO PVC RIG PRED;90GR;25MMX3/4BSP";"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:25MMX3/4BSP;SERIE:NORMAL;B UCHA LATAO:C/ BUCHA LATAO;DADOS EXTRAS:NORMA:NBR 5648;COR AZUL";UN;;4,876;4,876;4,876;4,876;4,876;4,682;4,682
1105192;1342;22850636;20239;"CONECTOR;TRANSIC;CPVC;22MMX3/4POL";"CONECTOR;TIPO:TRANSICAO;MATERIAL:CPVC;DIMENSIONAL:22MMX3/4POL;DADOS EXTRAS:P/AGUA QUENTE/FRIA;CONEXAO:MACHO;NORMA:NBR 15884";UN;;12,453;12,453;12,453;12,453;12,453;12,153;12,153
1105531;500;35227873;98883;"JOELHO PVC RIG PRED;90GR;32MMX3/4BSP";"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:32MMX3/4BSP;BUCHA LATAO:C/  BUCHA LATAO;DADOS EXTRAS:NORMA:NBR 5648";UN;;8,905;8,905;8,905;8,905;8,905;11,195;11,195
1105534;1431;26751322;11401;"JUNCAO PVC RIG SAN;SIMP;ESG;150X150MM";"JUNCAO PVC RIGIDO SANEAMENTO;CONSTRUCAO:SIMPLES;REFORCO:C/REFORCO;APLICACAO:ESGOTO;CONEXAO :JUNTA ELASTICA;BITOLA:150X150MM;ANGULO:45GR;DADOS EXTRAS:NORMA:NBR 7362/5688";UN;;69,857;69,857;69,857;69,857;69,857;67,171;67,171
1105535;1430;26751306;11707;"JUNCAO PVC RIG SAN;SIMP;ESG;100X100MM";"JUNCAO PVC RIGIDO SANEAMENTO;CONSTRUCAO:SIMPLES;REFORCO:C/REFORCO;APLICACAO:ESGOTO;CONEXAO :JUNTA ELASTICA;BITOLA:100X100MM;ANGULO:45GR;DADOS EXTRAS:NORMA:NBR 7362/5688";UN;;30,368;30,368;30,368;30,368;30,368;29,199;29,199
1105554;139;11051600;11462;"TUBO PVC RIG PRED;ESG;150MM;REF;6000MM";"TUBO PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:JUNTA ELASTICA;DIAMETRO/ROSCA:150MM;SERIE:REFORCADA;COMPRIMENTO:6000MM;DADOS EXTRAS:NORMA:NBR 7362/5688";UN;;317,872;317,872;317,872;317,872;317,872;317,872;317,872
1105556;137;11054528;11464;"TUBO PVC RIG PRED;ESG;75MM;REF;6000MM";"TUBO PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:JUNTA ELASTICA;DIAMETRO/ROSCA:75MM;SERIE:REFORCADA;COMPRIMENTO:6000MM;DADOS EXTRAS:NORMA:NBR 7362/5688";UN;;93,644;93,644;93,644;93,644;93,644;91,895;91,895
1105557;138;11055010;11460;"TUBO PVC RIG PRED;ESG;100MM;REF;6000MM";"TUBO PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:JUNTA ELASTICA;DIAMETRO/ROSCA:100MM;SERIE:REFORCADA;COMPRIMENTO:6000MM;DADOS EXTRAS:NORMA:NBR 7362/5688";UN;;156,011;156,011;156,011;156,011;156,011;152,934;152,934
1105582;678;37427799;94168;ANEL BORRACHA ESG 200MM (NORMAL);ANEL DE BORRACHA PARA PVC ESGOTO 200MM (SERIE NORMAL) NBR 7362/5688;UN;;8,026;8,026;8,026;8,026;8,026;8,459;8,459
1105663;1364;22851659;20290;"LUVA TRANSIC CPVC RIG PRED;SOLD/ROSC";"LUVA TRANSICAO CPVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA/AGUA QUENTE;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:22MMX3/4BSP;DADOS EXTRAS:C/BUCHA LATAO;NORMA:NBR 15884";UN;;7,682;7,682;7,682;7,682;7,682;7,473;7,473
