CÓDIGO MRV;Código Krona;Código Tigre;Código Amanco;Descrição Curta;Descrição Longa;UMP;Embalagem Padrão;PR;SC;RS;MT;MS;GO;DF
1107966;501;35247785;11750;"LUVA PVC RIG PRED;AG FR;20MMX1/2BSP";"LUVA PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:20MMX1/2BSP;ACESSORIO:C/BU CHA LATAO;DADOS EXTRAS:NORMA:NBR 5648";UN;;3,075;3,075;3,075;3,075;3,075;3,118;3,118
1107982;336;22000500;11511;"ADAPTADOR PVC RIG PRED;50MMX1 1/2BSP";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:50MMX1 1/2BSP;DADOS EXTRAS:NORMA:ABNT NBR 5648;COR:MARROM;CLASSE PRESSAO:7,5KGF/CM2;PESO: 60G;CONEXAO:MACHO;C/BOLSA;P/REGISTRO;NORMA:NBR 5648";UN;;2,353;2,353;2,353;2,353;2,353;2,353;2,353
1108226;359;22067559;90570;"BUCHA RED PVC RIG PRED;AG FR;110X85MM;CT";"BUCHA REDUCAO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:110X85MM;CONSTRUCAO:CURTA;DADOS EXTRAS:NORMA:NBR 5648";UN;;87,783;87,783;87,783;87,783;87,783;73,992;73,992
1108228;365;22067273;11537;"BUCHA RED PVC RIG PRED;AG FR;75X60MM;CT";"BUCHA REDUCAO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:75X60MM;CONSTRUCAO:CURTA;DADOS EXTRAS:NORMA:NBR 5648";UN;;9,558;9,558;9,558;9,558;9,558;9,147;9,147
1108229;364;22067044;11536;"BUCHA RED PVC RIG PRED;AG FR;60X50MM;CT";"BUCHA REDUCAO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:60X50MM;CONSTRUCAO:CURTA;DADOS EXTRAS:COR: MARROM;NORMA:NBR 5648";UN;;4,627;4,627;4,627;4,627;4,627;4,627;4,627
1108431;;;;"BUCHA RED PVC RIG PRED;AG FR;160X110MM";"BUCHA REDUCAO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:160X110MM;CONSTRUCAO:LONGA;DADOS EXTRAS:NORMA:NBR 5648";PEC;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1108734;339;22000853;11514;"ADAPTADOR PVC RIG PRED;AG FR;85MMX3BSP";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:85MMX3BSP;DADOS EXTRAS:NORMA:ABNT NBR 5648;COR:MARROM;C/BOLSA;P/REGISTRO;NORMA:NBR 5648";UN;;16,939;16,939;16,939;16,939;16,939;15,147;15,147
1108735;337;22000608;11512;"ADAPTADOR PVC RIG PRED;AG FR;60MMX2BSP";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:60MMX2BSP;DADOS EXTRAS:COR:MARROM;PESO:1,60KG;NBR 5648;750 KPA;NBR 5626;C/BOLSA;P/REGISTRO;NORMA:NBR 5648";UN;;6,072;6,072;6,072;6,072;6,072;5,92;5,92
1108843;497;35217789;11678;"JOELHO PVC RIG PRED;90GR;20MMX1/2BSP";"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:20MMX1/2BSP;BUCHA LATAO:C/  BUCHA LATAO;DADOS EXTRAS:NORMA:NBR 5648";UN;;3,525;3,525;3,525;3,525;3,525;3,404;3,404
1108912;1363;22851632;20289;"LUVA TRANSIC CPVC RIG PRED;SOLD/ROSC";"LUVA TRANSICAO CPVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA/AGUA QUENTE;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:22MMX1/2BSP;DADOS EXTRAS:C/BUCHA LATAO;NORMA:NBR 15884";UN;;7,011;7,011;7,011;7,011;7,011;6,288;6,288
1109034;546;300000788;;"VALVULA ESFERA;SW 75MM";"VALVULA ESFERA;CONEXAO:SW 75MM;DADOS EXTRAS:MATERIAL:PVC;(VS);NORMA:NBR 5658/5626";UN;;78,946;78,946;78,946;78,946;78,946;70,861;70,861
1109201;1458;26752485;14147;"TE PVC RIG PRED;90GR;ESG;75X75MM;REF";"TE PVC RIGIDO PREDIAL;ANGULACAO:90GR;APLICACAO:ESGOTO;CONEXAO:JUNTA ELASTICA;DIAMETRO/ROSCA:75X75MM;SERIE:REFORCADA;DADOS EXTRAS:INSPECAO;NORMAS:NBR7362/NBR5688";UN;;16,181;16,181;16,181;16,181;16,181;15,563;15,563
1109637;547;300000789;;"VALVULA ESFERA;SW 85MM";"VALVULA ESFERA;CONEXAO:SW 85MM;DADOS EXTRAS:MATERIAL:PVC;(VS);NORMA:NBR 5658/5626";UN;;101,766;101,766;101,766;101,766;101,766;90,701;90,701
1109649;728;26398355;;"TE PVC RIG PRED;90GR;ESG;100X75MM;NORM";"TE PVC RIGIDO PREDIAL;ANGULACAO:90GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:100X75MM;SERIE:NORMAL;DADOS EXTRAS:INSPECAO;NORMA:NBR7362/NBR5688";UN;;23,253;23,253;23,253;23,253;23,253;21,465;21,465
1110104;;22325558;14483;"CAP PP;VD;SOLD;50MM;25BAR";"CAP POLIPROPILENO;COR:VERDE;TIPO CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:50MM;PRESSAO NOMINAL:25BAR;DADOS EXTRAS:NORMA:NBR 15813";PEC;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1110254;1341;22850628;20238;"CONECTOR;TRANSIC;CPVC;22MMX1/2POL";"CONECTOR;TIPO:TRANSICAO;MATERIAL:CPVC;DIMENSIONAL:22MMX1/2POL;DADOS EXTRAS:P/AGUA QUENTE/FRIA;CONEXAO:MACHO;NORMA:NBR 15884";UN;;9,764;9,764;9,764;9,764;9,764;8,901;8,901
1111518;;26913519;10035;"ADAPTADOR P/SAID LAV ROUP;PP;ENC 40MM";"ADAPTADOR P/SAIDA LAVADORA ROUPAS;MATERIAL:POLIPROPILENO;CONEXAO ENTRADA:ESPIGAO 3/4-1POL;CONEXAO SAIDA:ENCAIXE 40MM;DADOS EXTRAS:COR:BRANCO;CURTO ENCAIXE;FABRICANTE/REFERENCIA:TIGRE/26913519";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1112200;;27161006;;"RALO ANTIESPUMA;PVC;CIL;BR/PT;S/;100MM";"RALO ANTIESPUMA;MATERIAL:PVC;FORMATO:CILINDRICO;COR:BRANCO/PRETO;REFORCO:S/;D IMENSOES:100MM;DADOS EXTRAS:P/ESGOTO;NORMAS:NBR 7362/5688";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1112211;;27161502;;"RALO ANTIESPUMA;PVC;CIL;BR/PT;S/;150MM";"RALO ANTIESPUMA;MATERIAL:PVC;FORMATO:CILINDRICO;COR:BRANCO/PRETO;REFORCO:S/;D IMENSOES:150MM;DADOS EXTRAS:P/ESGOTO;NORMAS:NBR 7362/5688";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1112623;1366;22851900;20297;"TE CPVC;90GR;PRED;SOLD;15MM";"TE CPVC;ANGULO:90GR;APLICACAO:PREDIAL;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:15MM; DADOS EXTRAS:NORMA:NBR 15884";UN;;1,546;1,546;1,546;1,546;1,546;1,41;1,41
1112666;;;;"VALVULA RETENCAO P/ESGOTO;PORT;PVC;PVC";"VALVULA RETENCAO P/ESGOTO;OBTURADOR:PORTINHOLA;MATERIAL CORPO:PVC;MATERIAL OBTURADOR:PVC;DADOS EXTRAS:DIAMETRO:100MM;NORMAS:NBR 7362/5688";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1114616;;22217070;98894;"TE RED PVC RIG PRED;90GR;AG FR;60X50MM";"TE REDUCAO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:60X50MM;DADOS EXTRAS:NORMA:NBR 5648";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1114617;;22002481;14324;"ADAPTADOR PVC RIG PRED;50MMX1 1/2BSP";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:CAIXA AGUA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:50MMX1 1/2BSP;DADOS EXTRAS:C/ANEL;NORMA:NBR 5648";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1116687;;;;"EXTREMIDADE LIG P/HIDROMETRO;CT;PVC;ROSC";"EXTREMIDADE LIGACAO P/HIDROMETRO;TIPO:CURTA;MATERIAL:PVC;DIAMETRO/ROSCA:3/4BSP;CONEXAO:ROSCA VEL;BUCHA LATAO:C/ BUCHA LATAO;DADOS EXTRAS:NORMA:NBR 5648";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1116746;;;;"LUVA TRANSIC CPVC RIG PRED;SOLD/ROSC";"LUVA TRANSICAO CPVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA/AGUA QUENTE;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:22X25MM;DADOS EXTRAS:NORMA:NBR 15884";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1116747;1367;22851950;20298;"TE CPVC;90GR;PRED;SOLD;22MM";"TE CPVC;ANGULO:90GR;APLICACAO:PREDIAL;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:22MM; DADOS EXTRAS:NORMA:NBR 15884";UN;;2,09;2,09;2,09;2,09;2,09;2,074;2,074
1116774;;24013235;;"ADAPTADOR PVC RIG PRED;AG FR;160MMX6BSP";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:160MMX6BSP;DADOS EXTRAS:NORMA:NBR 5648;C/BOLSA;P/REGISTRO;NORMA:NBR 5648";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1116955;1389;53010407;97673;"ADESIVO PLAST P/CPVC;EMB 175G";"ADESIVO PLASTICO P/CPVC;APRESENTACAO:EMBALAGEM 175G;DADOS EXTRAS:USO:TUBO;FABRICANTE/REFERENCIA:AMANCO/97673";UN;;16,682;16,682;16,682;16,682;16,682;15,233;15,233
1116962;519;53020119;99684;"ADESIVO PLAST P/PVC;RES AZ;EMB 850G";"ADESIVO PLASTICO P/PVC;CARACTERISTICA CONSTRUTIVA:RESINA AZUL;APRESENTACAO:EMBALAGEM 850G;DADOS EXTRAS:USO:TUBO.;FABRICANTE/REFERENCIA:AMANCO/99684";UN;;34,069;34,069;34,069;34,069;34,069;34,505;34,505
1117503;;27952755;;"VALVULA ESFERA;PVC;3/4BSP;MAN BORB";"VALVULA ESFERA;MATERIAL/NORMA CORPO:PVC;CONEXAO:3/4BSP;ACIONAMENTO:MANOPLA BORBOLETA;DADOS EXTRAS:ROSCA FEMEA;NORMAS:NBR 5658/5626";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1117510;;100002626;;"VALVULA ESF;3/4BSP;7,5KGF/CM2";"VALVULA ESFERA;MATERIAL/NORMA CORPO:PVC;MATERIAL OBTURADOR:PVC;PASSAGEM:PLENA;MATERIAL SEDE:PVC;CONEXAO:3/4BSP;PRESSAO:7,5KGF/CM2;ACIONAMENTO:MANOPLA BORBOLETA;DADOS EXTRAS:ROSCA MACHO;NORMAS:NBR 5658/5626;FABRICANTE/REFERENCIA:TIGRE/27950183";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1118176;670;37050407;90111;"ANEL P/TUBO;BORRACHA;40MM";"ANEL P/TUBO;MATERIAL:BORRACHA;DIAMETRO TUBO:40MM;DADOS EXTRAS:USO:PVC ESGOTO;SERIE NORMAL;NORMA:NBR 7362/5688";UN;;0,591;0,591;0,591;0,591;0,591;0,542;0,542
1118408;;32030750;21506;"GRELHA ESC P/RALO;PVC;RETANG;500X200MM";"GRELHA ESCOAMENTO P/RALO;MATERIAL:PVC;COR:BRANCA;FORMATO:RETANGULAR;TAMANHO NOMINAL:500X200MM;DADOS EXTRAS:P/AGUA PLUVIAL;ARTICULADA;FABRICANTE/REFERENCIA:AMANCO/21506";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1118564;597;26061504;10052;"CAP PVC RIG PRED;ESG;150MM";"CAP PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:150MM;DADOS EXTRAS:(SERIE NORMAL);NORMA:NBR 7362/5688";UN;;15,147;15,147;15,147;15,147;15,147;14,528;14,528
1119107;;21005258;;"LUVA PVC RIG PRED;AG FR;SOLD;25MMX1/2BSP";"LUVA PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:25MMX1/2BSP;ACESSORIO:C/BUCHA LATAO;DADOS EXTRAS:DRYFIX;NORMA:NBR 5648;FABRICANTE/REFERENCIA:TIGRE/21005258";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1119264;;10331188;;"TUBO PVC RIG PRED;AG FR;PBS;160MM;6000MM";"TUBO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:PONTA BOLSA SOLDAVEL;DIAMETRO/ROSCA:160MM;CLASSE:CLASSE 15;COMPRIMENTO:6000MM;DADOS EXTRAS:NORMA:NBR 5648";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1120726;1433;100001316;14153;"JUNCAO PVC RIG SAN;SIMP;ESG;75X50MM;45GR";"JUNCAO PVC RIGIDO SANEAMENTO;CONSTRUCAO:SIMPLES;REFORCO:C/REFORCO;APLICACAO:ESGOTO;CONEXAO :JUNTA ELASTICA;BITOLA:75X50MM;ANGULO:45GR";UN;;13,247;13,247;13,247;13,247;13,247;13,247;13,247
1121382;;100021078;;"TAMPA P/SIFAO;50MM";"TAMPA P/SIFAO;DIAMETRO:50MM";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1122228;;27957013;98934;"VALVULA RET;SW 25MM;10KGF/CM2";"VALVULA RETENCAO;APLICACAO:AGUA;OBTURADOR:DISCO C/MOLA;MATERIAL OBTURADOR:PVC;MATERIAL CORPO:PVC;CONEXAO:SW 25MM;PRESSAO:10KGF/CM2;DADOS EXTRAS:BIPARTIDA;COR:MARROM;SOLDAVEL;FABRICANTE/REFERENCIA:AMANCO/98934; TIGRE/27957013";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1123161;523;53010415;91387;"ADESIVO PLAST P/PVC;EXTR FORT;EMB 850G";"ADESIVO PLASTICO P/PVC;CARACTERISTICA CONSTRUTIVA:EXTRA FORTE;APRESENTACAO:EMBALAGEM 850G;DADOS EXTRAS:USO: GRANDES DIAMETROS;COR:VERMELHO;FABRICANTE/REFERENCIA:AMANCO/91387";UN;;59,791;59,791;59,791;59,791;59,791;59,971;59,971
1125244;1447;26752000;12069;"LUVA CORR PVC RIG PRED;ESG;100MM;REF";"LUVA CORRER PVC RIGIDO PREDIAL;P/:ESGOTO;CONEXAO:P/TUBO SOLDAVEL;DIAMETRO:100MM;SERIE:REFORCADA;DADOS EXTRAS:COR: CINZA;CONFORME  NORMA: NBR5688;SERIE R;FABRICANTE/REFERENCIA:TIGRE/26752000";UN;;10,408;10,408;10,408;10,408;10,408;10,408;10,408
1125799;1462;26752407;14632;"TE RED PVC RIG PRED;90GR;ESG;75X50MM;REF";"TE REDUCAO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:ESGOTO;CONEXAO:JUNTA  ELASTICA;DIAMETRO/ROSCA:75X50MM;SERIE:REFORCADA";UN;;11,189;11,189;11,189;11,189;11,189;11,106;11,106
1125852;;;;"FLANGE PVC RIG PRED;LI;S/FUROS;60MM;SOLD";"FLANGE PVC RIGIDO PREDIAL;CONSTRUCAO APERTO:LISO;FURACAO:S/FUROS;APLICACAO:AGUA FRIA;DIAMETRO/ROSCA:60MM;CONEXAO:SOLDAVEL;DADOS EXTRAS:MARROM.;FABRICANTE/REFERENCIA:TIGRE/24370607";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1125853;;;;"FLANGE PVC RIG PRED;LI;S/FUROS;75MM;SOLD";"FLANGE PVC RIGIDO PREDIAL;CONSTRUCAO APERTO:LISO;FURACAO:S/FUROS;APLICACAO:AGUA FRIA;DIAMETRO/ROSCA:75MM;CONEXAO:SOLDAVEL;FABRICANTE/REFERENCIA:TIGRE/24 370852";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1125888;;;;SIFONAGEM CX SIF 100X100;"SIFONAGEM CX SIF;APLICACAO:ESGOTO;CONEXAO:BOLSA C/ANEL;DIAMETRO/ROSCA:100X100MM;FABRICANTE/REFERENCIA:A MANCO/13660";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1125889;;;;SIFONAGEM CX SIF 100X150;"SIFONAGEM CX SIF;APLICACAO:ESGOTO;CONEXAO:BOLSA C/ANEL;DIAMETRO/ROSCA:100X150MM;FABRICANTE/REFERENCIA:A MANCO/13661";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1125975;;26752124;11422;"LUVA PVC RIG PRED;ESG;PBV;150MM;REF";"LUVA PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA BOLSA VIROLA;DIAMETRO/ROSCA:150MM;SERIE:REFORCADA;DADOS EXTRAS:COR: CINZA;CONFORME NORMA: NBR5688.;FABRICANTE/REFERENCIA:TIGRE/26752124";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1129993;;;;"CONECTOR CPVC RIG PRED;73MMX2 1/2BSP";"CONECTOR CPVC RIGIDO PREDIAL;APLICACAO:AGUA;TIPO CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:73MMX2 1/2BSP;DADOS EXTRAS:P/EXECUCAO REDE INCENDIO,GALVANIZADO;FABRICANTE/REFERENCIA:TIGRE/100021068";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1130362;;;;"JOELHO CPVC RIG IND;45GR;LIQ;SOLD;1/2POL";"JOELHO CPVC RIGIDO INDUSTRIAL;ANGULO:45GR;APLICACAO:LIQUIDO;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA :1/2POL;DADOS EXTRAS:SCHEDULE 80;FABRICANTE/REFERENCIA:AMANCO/99574;TIGRE/22897519";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1130364;;;;"JOELHO CPVC RIG IND;45GR;LIQ;SOLD;3/4POL";"JOELHO CPVC RIGIDO INDUSTRIAL;ANGULO:45GR;APLICACAO:LIQUIDO;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA :3/4POL;DADOS EXTRAS:SCHEDULE 80;DIMENSOES: 34,14X25,51MM;COR: CINZA;FABRICANTE/REFERENCIA:AMANCO/99575;TIGRE/22897535";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1130478;;;;"ADAPTADOR PP MACH/FEM;3BSP;SOLD 90MM";"ADAPTADOR POLIPROPILENO MACHO/FEMEA;CONEXAO MACHO:3BSP;CONEXAO FEMEA:SOLDAVEL 90MM;COMPRIMENTO:127MM;FABRICANTE/REFERENCIA:AMANCO/14628";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1130480;;;;"TE PP;PPR;90GR;TERMOF;110MM;25KGF/CM2";"TE POLIPROPILENO;COMPOSICAO:PPR;ANGULO:90GR;CONEXAO:TERMOFUSAO;DIAMETRO/ROS CA:110MM;PRESSAO NOMINAL:25KGF/CM2;DADOS EXTRAS:CAVALETE AGUA;FABRICANTE/REFERENCIA:AMANCO/14546";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1130491;;;;"LUVA PVC RIG PRED;AGUA QUENT;SOLD;110MM";"LUVA PVC RIGIDO PREDIAL;APLICACAO:AGUA QUENTE;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:110MM;FABRICANTE/REFERENCIA:AMANC O/14576";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1130502;;;;"ADAPTADOR PP RIG PRED;VD;110MMX4BSP";"ADAPTADOR POLIPROPILENO RIGIDO PREDIAL;COR:VERDE;DIAMETRO:110MMX4BSP;CONEXAO:TERMOFUSAO/ROSCA MACHO;FABRICANTE/REFERENCIA:AMANCO/14629";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1130521;;;;"JOELHO PP;VD;90GR;SOLD;90MM;10KGF/CM2";"JOELHO POLIPROPILENO;COMPOSICAO:PPR;COR:VERDE;ANGULO:90GR;CONEXAO:SOLDAVEL;DIAM ETRO/ROSCA:90MM;PRESSAO NOMINAL:10KGF/CM2;DADOS EXTRAS:USO: CAVALETE BOMBA;FABRICANTE/REFERENCIA:AMANCO/14537;BELFANO/02-311-16";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1132054;;;;"TUBO PVC RIG P/ESG;LJ;50MM;C/VED;SILENC";"TUBO PVC RIGIDO P/ESGOTO;COR:LARANJA;DIAMETRO NOMINAL:50MM;EXTREMIDADE CONEXAO:PONTA/BOLSA S/VIROLA;VEDACAO:C/ VEDACAO;SERIE:SILENCIOSA;COMPRIMENTO:6000MM;DADOS EXTRAS:LINHA SILENTIUM, REDUZ RUIDOS, BARRULHOS TUBULACAO";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1132060;;;;"DEFLETOR ACUST P/CX SIF;PVC;PT;CIRC";"DEFLETOR ACUSTICO P/CAIXA SIFONADA;MATERIAL:PVC;COR:PRETO;FORMATO:CIRCULAR;DIAMETRO/LARGURA:140,50 MM;ALTURA:60,10MM;DADOS EXTRAS:POSSUI FUNCAO REDUCAO RUIDO PROVOCADO P/QUEDA DAGUA FUNDO CAIXA SIFONADA, DIRECIONANDO FLUXO P/PAREDE CAIXA SIFONADA";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1132061;;;;"CORPO CX SIF;PVC;LJ;150X150X50MM";"CORPO CAIXA SIFONADA;MATERIAL:PVC;COR:LARANJA;REFORCO:C/ REFORCO;DIMENSOES:150X150X50MM;NUMERO ENTRADAS LATERAIS:C/5 ENT LATERAIS  50MM;DADOS EXTRAS:RALO P/ESGOTAMENTO;LINHA SILENTIUM";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1132081;;;;"JOELHO PVC RIG P/ESG;LJ;45GR;50MM;C/VED";"JOELHO PVC RIGIDO P/ESGOTO;COR:LARANJA;ANGULO:45GR;DIAMETRO NOMINAL:50 MM;EXTREMIDADE CONEXAO:PONTA/BOLSA C/VIROLA;VEDACAO:C/ VEDACAO;SERIE:SILENCIOSA;DADOS EXTRAS:LINHA SILENTIUM";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1132082;;;;"LUVA PVC RIG P/ESG;LJ;150MM;S/VED;SILENC";"LUVA PVC RIGIDO P/ESGOTO;COR:LARANJA;DIAMETRO NOMINAL:150 MM;EXTREMIDADE  CONEXAO:PONTA/BOLSA C/VIROLA;VEDACAO:S/ VEDACAO;SERIE:SILENCIOSA;DADOS EXTRAS:LUVA SIMPLES P/UNIAO TUBOS AMANCO LINHA SILENTIUM";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1132214;;;;"LUVA PVC RIG PRED;AG FR;BOLS C/ANEL;50MM";"LUVA PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:BOLSA C/ANEL;DIAMETRO/ROSCA:50MM;DADOS EXTRAS:COR:LARANJA;SILENCIOSO;LINHA SILENTIUM;FABRICANTE/REFERENCIA:AMANCO/14846";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1132226;;;;"SUPORTE P/CX SIF;150MM;CX SIF AMANCO";"SUPORTE P/CAIXA SIFONADA;DIMENSOES:150MM;APLICACAO:DA CAIXA SIFONADA AMANCO;DADOS EXTRAS:LINHA SILENTIUM;FABRICANTE/REFERENCIA:AMANCO/97066";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1132249;;;;"GRELHA ESC P/RALO;VORT;PVC;QUADR;100MM";"GRELHA ESCOAMENTO P/RALO;TIPO:VORTICE;MATERIAL:PVC;COR:BRANCA;FORMATO:QUADRADA;TAMANHO NOMINAL:100MM;FABRICANTE/REFERENCIA:AMANCO/22855";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1132250;;;;"GRELHA ESC P/RALO;VORT;PVC;QUADR;150MM";"GRELHA ESCOAMENTO P/RALO;TIPO:VORTICE;MATERIAL:PVC;COR:BRANCA;FORMATO:QUADRADA;TAMANHO NOMINAL:150MM";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1201157;677;53201849;90130;"PASTA LUBRIFICANTE;ACID GRAX;TUB;EMB 1KG";"PASTA LUBRIFICANTE;BASE:ACIDO GRAXO;APLICACAO:TUBOS;APRESENTACAO:EMBALAGEM 1KG;DADOS EXTRAS:MATERIAL TUBO:PVC";UN;;20,771;20,771;20,771;20,771;20,771;20,297;20,297
1201161;676;53201830;90129;"PASTA LUBR;ACIDO GRAXO;TUBOS;EMB 400G";"PASTA LUBRIFICANTE;BASE:ACIDO GRAXO;APLICACAO:TUBOS;APRESENTACAO:EMBALAGEM 400G;DADOS EXTRAS:MATERIAL TUBO:PVC";UN;;8,111;8,111;8,111;8,111;8,111;7,964;7,964
1202594;521;54010001;90132;"SOLUCAO LIMPADORA TUBULACAO;EMBALAGEM 1L";"SOLUCAO LIMPADORA TUBULACAO;APRESENTACAO:EMBALAGEM 1L;DADOS EXTRAS:P/PVC";UN;;33,047;33,047;33,047;33,047;33,047;29,445;29,445
1202595;520;54001207;90133;"SOLUCAO LIMPADORA TUBULACAO;EMB 200ML";"SOLUCAO LIMPADORA TUBULACAO;APRESENTACAO:EMBALAGEM 200ML;DADOS EXTRAS:P/PVC";UN;;9,188;9,188;9,188;9,188;9,188;8,381;8,381
