idx_item;codigo_interno_oc;descricao_original;descricao_reconstruida;quantidade;unidade_original;unidade_normalizada;valor_unitario;valor_total;pagina;linhas_origem;score_extracao;status_extracao;observacoes;descricao_oc;quantidade_oc;unidade_oc;codigo_oc;match_encontrado;codigo_krona;descricao_krona;descricao_krona_normalizada;linha_krona_match;familia_krona_match;unidade_venda_krona;quantidade_embalagem_krona;score_estrutura;score_textual;score_total;tipo_match;revisao_manual;motivo_match;categoria_krona;eh_tubo_krona;diametro_krona_mm;comprimento_krona_m;quantidade_original_oc;unidade_original_oc;quantidade_ajustada;fator_conversao_quantidade;tipo_quantidade;unidade_venda_considerada;quantidade_convertida;conversao_aplicada;observacao_conversao;revisao_unidade;quantidade_final
10;1101526;"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:100MM;SERIE:NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:100MM;SERIE:NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";32.0;UN;UN;2.81;89.92;1;[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26];0.92;ok;"['formato_mrv', 'observacao_comercial_detectada', 'texto_observacao=Entregar na F&#225;brica de Kits MRV:#Avenida Thomaz Alberto Whately, n&#176; 5105, Jardim J&#243;quei Clube, Galp&#227;o de n# 20, Ribeir&# 227;o Preto/SP, CEP: 14078-550.#SEGUNDA A QUINTA 07:00H as 11:30H/13:0 0-16:30H#SEXTA 07:00H as 11:30H/13:00-15:30H#Bruno Oliveira (16) 99389 -2007', 'bloco_encerrado_por_separador', 'validacao:total_confere']";"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:100MM;SERIE:NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";32.0;UN;1101526;True;614;JOELHO 45 ESGOTO PRIM - DN 100;JOELHO 45 ESGOTO PRIMARIO - DN 100;CONEXOES ESGOTO PRIMARIO;ESGOTO;PC;10.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;JOELHO;False;100.0;0.115;32.0;UN;32.0;;ORIGINAL_NAO_TUBO_UNIDADE;PC;32.0;ORIGINAL_NAO_TUBO_UNIDADE;ORIGINAL_NAO_TUBO_UNIDADE;False;32.0
20;1101593;"LUVA PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA/BOLSA;DIAMETRO/ROSCA:50MM;SERIE:N ORMAL;DADOS EXTRAS:MODELO:SIMPLES;NORMA:NBR 7362/5688";"LUVA PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA/BOLSA;DIAMETRO/ROSCA:50MM;SERIE:N ORMAL;DADOS EXTRAS:MODELO:SIMPLES;NORMA:NBR 7362/5688";152.0;UN;UN;0.87;132.24;1;[27, 28, 29, 30, 31, 32];0.8;ok_com_ressalvas;['formato_mrv', 'bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:total_confere'];"LUVA PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA/BOLSA;DIAMETRO/ROSCA:50MM;SERIE:N ORMAL;DADOS EXTRAS:MODELO:SIMPLES;NORMA:NBR 7362/5688";152.0;UN;1101593;True;645;LUVA ESGOTO PRIM. - DN 50;LUVA ESGOTO PRIMARIO. - DN 50;CONEXOES ESGOTO PRIMARIO;ESGOTO;PC;25.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;LUVA;False;50.0;0.063;152.0;UN;152.0;;ORIGINAL_NAO_TUBO_UNIDADE;PC;152.0;ORIGINAL_NAO_TUBO_UNIDADE;ORIGINAL_NAO_TUBO_UNIDADE;False;152.0
30;1101595;"LUVA PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA/BOLSA;DIAMETRO/ROSCA:100MM;SERIE: NORMAL;DADOS EXTRAS:MODELO:SIMPLES;NORMA:NBR 7362/5688";"LUVA PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA/BOLSA;DIAMETRO/ROSCA:100MM;SERIE: NORMAL;DADOS EXTRAS:MODELO:SIMPLES;NORMA:NBR 7362/5688";64.0;UN;UN;1.72;110.08;2;[21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32];0.92;ok;"['formato_mrv', 'observacao_comercial_detectada', 'texto_observacao=Entregar na F&#225;brica de Kits MRV:#Avenida Thomaz Alberto Whately, n&#176; 5105, Jardim J&#243;quei Clube, Galp&#227;o de n# 20, Ribeir&# 227;o Preto/SP, CEP: 14078-550.#SEGUNDA A QUINTA 07:00H as 11:30H/13:0 0-16:30H#SEXTA 07:00H as 11:30H/13:00-15:30H#Bruno Oliveira (16) 99389 -2007', 'bloco_encerrado_por_separador', 'validacao:total_confere']";"LUVA PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA/BOLSA;DIAMETRO/ROSCA:100MM;SERIE: NORMAL;DADOS EXTRAS:MODELO:SIMPLES;NORMA:NBR 7362/5688";64.0;UN;1101595;True;647;LUVA ESGOTO PRIM. - DN 100;LUVA ESGOTO PRIMARIO. - DN 100;CONEXOES ESGOTO PRIMARIO;ESGOTO;PC;10.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;LUVA;False;100.0;0.1147;64.0;UN;64.0;;ORIGINAL_NAO_TUBO_UNIDADE;PC;64.0;ORIGINAL_NAO_TUBO_UNIDADE;ORIGINAL_NAO_TUBO_UNIDADE;False;64.0
40;1101604;"CAP PVC RIGIDO PREDIAL;P/:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:50MM;DADOS EXTRAS:NORMAS:NBR 7362/5688;SERIE:NORMAL";"CAP PVC RIGIDO PREDIAL;P/:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:50MM;DADOS EXTRAS:NORMAS:NBR 7362/5688;SERIE:NORMAL";92.0;UN;UN;1.9;174.8;2;[33, 34, 35, 36];0.8;ok_com_ressalvas;['formato_mrv', 'bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:total_confere'];"CAP PVC RIGIDO PREDIAL;P/:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:50MM;DADOS EXTRAS:NORMAS:NBR 7362/5688;SERIE:NORMAL";92.0;UN;1101604;True;594;CAP ESGOTO PRIM. - DN 50;CAP ESGOTO PRIMARIO. - DN 50;CONEXOES ESGOTO PRIMARIO;ESGOTO;PC;10.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;CAP;False;50.0;0.063;92.0;UN;92.0;;ORIGINAL_NAO_TUBO_UNIDADE;PC;92.0;ORIGINAL_NAO_TUBO_UNIDADE;ORIGINAL_NAO_TUBO_UNIDADE;False;92.0
50;1101636;TUBO PVC ESGOTO 6M 100MM (SERIE NORMAL) NBR 7362/5688;TUBO PVC ESGOTO 6M 100MM (SERIE NORMAL) NBR 7362/5688;6.0;UN;UN;43.06;258.36;3;[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33];0.92;ok;"['formato_mrv', 'observacao_comercial_detectada', 'texto_observacao=Entregar na F&#225;brica de Kits MRV:#Avenida Thomaz Alberto Whately, n&#176; 5105, Jardim J&#243;quei Clube, Galp&#227;o de n# 20, Ribeir&# 227;o Preto/SP, CEP: 14078-550.#SEGUNDA A QUINTA 07:00H as 11:30H/13:0 0-16:30H#SEXTA 07:00H as 11:30H/13:00-15:30H#Bruno Oliveira (16) 99389 -2007', 'bloco_encerrado_por_separador', 'validacao:total_confere']";TUBO PVC ESGOTO 6M 100MM (SERIE NORMAL) NBR 7362/5688;6.0;UN;1101636;True;103;TUBO PVC ESGOTO PRIM. - 6M - DN 100;TUBO PVC ESGOTO PRIMARIO. - 6M - DN 100;TUBOS PVC ESGOTO;ESGOTO;BR;5.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;TUBO;True;100.0;6.0;6.0;UN;6.0;1.0;BARRA_DIRETA_OC_UN;BR;6.0;BARRA_DIRETA_OC_UN;BARRA_DIRETA_OC_UN;False;6.0
60;1101638;TUBO PVC ESGOTO 6M 150MM (SERIE NORMAL) NBR 7362/5688;TUBO PVC ESGOTO 6M 150MM (SERIE NORMAL) NBR 7362/5688;3.0;UN;UN;93.95;281.85;3;[34, 35, 36, 37, 38];0.8;ok_com_ressalvas;['formato_mrv', 'bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:total_confere'];TUBO PVC ESGOTO 6M 150MM (SERIE NORMAL) NBR 7362/5688;3.0;UN;1101638;True;104;TUBO PVC ESGOTO PRIM. - 6M - DN 150;TUBO PVC ESGOTO PRIMARIO. - 6M - DN 150;TUBOS PVC ESGOTO;ESGOTO;BR;1.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;TUBO;True;150.0;6.0;3.0;UN;3.0;1.0;BARRA_DIRETA_OC_UN;BR;3.0;BARRA_DIRETA_OC_UN;BARRA_DIRETA_OC_UN;False;3.0
70;1103409;"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:25MMX1/2BSP;BUCHA LATAO:C/ BUCHA LATAO;DADOS EXTRAS:NORMA:NBR 5648";"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:25MMX1/2BSP;BUCHA LATAO:C/ BUCHA LATAO;DADOS EXTRAS:NORMA:NBR 5648";32.0;UN;UN;2.02;64.64;4;[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33];0.92;ok;"['formato_mrv', 'observacao_comercial_detectada', 'texto_observacao=Entregar na F&#225;brica de Kits MRV:#Avenida Thomaz Alberto Whately, n&#176; 5105, Jardim J&#243;quei Clube, Galp&#227;o de n# 20, Ribeir&# 227;o Preto/SP, CEP: 14078-550.#SEGUNDA A QUINTA 07:00H as 11:30H/13:0 0-16:30H#SEXTA 07:00H as 11:30H/13:00-15:30H#Bruno Oliveira (16) 99389 -2007', 'bloco_encerrado_por_separador', 'validacao:total_confere']";"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:25MMX1/2BSP;BUCHA LATAO:C/ BUCHA LATAO;DADOS EXTRAS:NORMA:NBR 5648";32.0;UN;1103409;True;499;JOELHO 90 SOLD C/BUCHA LATAO 25MM X 1/2;JOELHO 90 SOLDAVEL C BUCHA LATAO 25MM X 1 2;CONEXOES SOLD.C/ BUCHA DE LATAO;AF;PC;20.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;JOELHO;False;25.0;0.0462999999999999;32.0;UN;32.0;;ORIGINAL_NAO_TUBO_UNIDADE;PC;32.0;ORIGINAL_NAO_TUBO_UNIDADE;ORIGINAL_NAO_TUBO_UNIDADE;False;32.0
80;1103609;"TE PVC RIGIDO PREDIAL;ANGULACAO:90GR;APLICACAO:AGUA FRIA;CONEXAO:ROSCAVEL;DIAMETRO/ROSCA:1/2NPT;BUCHA LATAO:C/ BUCHA LATAO;DADOS EXTRAS:25MMX1/2POL;NORMAL:NBR 5648";"TE PVC RIGIDO PREDIAL;ANGULACAO:90GR;APLICACAO:AGUA FRIA;CONEXAO:ROSCAVEL;DIAMETRO/ROSCA:1/2NPT;BUCHA LATAO:C/ BUCHA LATAO;DADOS EXTRAS:25MMX1/2POL;NORMAL:NBR 5648";32.0;UN;UN;3.16;101.12;4;[34, 35, 36];0.8;ok_com_ressalvas;['formato_mrv', 'bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:total_confere'];"TE PVC RIGIDO PREDIAL;ANGULACAO:90GR;APLICACAO:AGUA FRIA;CONEXAO:ROSCAVEL;DIAMETRO/ROSCA:1/2NPT;BUCHA LATAO:C/ BUCHA LATAO;DADOS EXTRAS:25MMX1/2POL;NORMAL:NBR 5648";32.0;UN;1103609;True;506;TE SOLD C/BUCHA LATAO 25MM X 1/2;TE SOLDAVEL C BUCHA LATAO 25MM X 1 2;CONEXOES SOLD.C/ BUCHA DE LATAO;AF;PC;20.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;TE;False;25.0;0.0462999999999999;32.0;UN;32.0;;ORIGINAL_NAO_TUBO_UNIDADE;PC;32.0;ORIGINAL_NAO_TUBO_UNIDADE;ORIGINAL_NAO_TUBO_UNIDADE;False;32.0
90;1117503;"VALVULA ESFERA;MATERIAL/NORMA CORPO:PVC;CONEXAO:3/4BSP;ACIONAMENTO:MANOPLA BORBOLETA;DADOS EXTRAS:ROSCA FEMEA;NORMAS:NBR 5658/5626";"VALVULA ESFERA;MATERIAL/NORMA CORPO:PVC;CONEXAO:3/4BSP;ACIONAMENTO:MANOPLA BORBOLETA;DADOS EXTRAS:ROSCA FEMEA;NORMAS:NBR 5658/5626";80.0;UN;UN;3.75;300.0;5;[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34];0.92;ok;"['formato_mrv', 'observacao_comercial_detectada', 'texto_observacao=Entregar na F&#225;brica de Kits MRV:#Avenida Thomaz Alberto Whately, n&#176; 5105, Jardim J&#243;quei Clube, Galp&#227;o de n# 20, Ribeir&# 227;o Preto/SP, CEP: 14078-550.#SEGUNDA A QUINTA 07:00H as 11:30H/13:0 0-16:30H#SEXTA 07:00H as 11:30H/13:00-15:30H#Bruno Oliveira (16) 99389 -2007', 'bloco_encerrado_por_separador', 'validacao:total_confere']";"VALVULA ESFERA;MATERIAL/NORMA CORPO:PVC;CONEXAO:3/4BSP;ACIONAMENTO:MANOPLA BORBOLETA;DADOS EXTRAS:ROSCA FEMEA;NORMAS:NBR 5658/5626";80.0;UN;1117503;True;;;;;;;;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;;;;;80.0;UN;80.0;;ORIGINAL_NAO_TUBO_UNIDADE;UN;80.0;ORIGINAL_NAO_TUBO_UNIDADE;ORIGINAL_NAO_TUBO_UNIDADE;False;80.0
