DESCRICAO;CODIGO;QUANTIDADE
JOELHO 45 ESGOTO PRIM - DN 100;614;32.0
LUVA ESGOTO PRIM. - DN 50;645;152.0
LUVA ESGOTO PRIM. - DN 100;647;64.0
CAP ESGOTO PRIM. - DN 50;594;92.0
TUBO PVC ESGOTO PRIM. - 6M - DN 100;103;6.0
TUBO PVC ESGOTO PRIM. - 6M - DN 150;104;3.0
JOELHO 90 SOLD C/BUCHA LATAO 25MM X 1/2;499;32.0
TE SOLD C/BUCHA LATAO 25MM X 1/2;506;32.0
"VALVULA ESFERA;MATERIAL/NORMA CORPO:PVC;CONEXAO:3/4BSP;ACIONAMENTO:MANOPLA BORBOLETA;DADOS EXTRAS:ROSCA FEMEA;NORMAS:NBR 5658/5626";;80.0
