idx_item;codigo_interno_oc;descricao_original;descricao_reconstruida;quantidade;unidade_original;unidade_normalizada;valor_unitario;valor_total;pagina;linhas_origem;score_extracao;status_extracao;observacoes;descricao_oc;quantidade_oc;unidade_oc;codigo_oc;match_encontrado;codigo_krona;descricao_krona;descricao_krona_normalizada;linha_krona_match;familia_krona_match;unidade_venda_krona;quantidade_embalagem_krona;score_estrutura;score_textual;score_total;tipo_match;revisao_manual;motivo_match;categoria_krona;eh_tubo_krona;diametro_krona_mm;comprimento_krona_m;quantidade_original_oc;unidade_original_oc;quantidade_ajustada;tipo_quantidade;fator_conversao_quantidade;unidade_venda_considerada;quantidade_convertida;conversao_aplicada;observacao_conversao;revisao_unidade;quantidade_final
10;1050756;"TE REDUCAO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:25MMX3/4BSP;BUCHA LATAO:BUCHA LATAO;FABRICANTE/REFERENCIA:AMANCO/10423;AMANCO/11844;TIGRE/35288376";"TE REDUCAO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:25MMX3/4BSP;BUCHA LATAO:BUCHA LATAO;FABRICANTE/REFERENCIA:AMANCO/10423;AMANCO/11844;TIGRE/35288376";50.0;UN;UN;4.17;208.5;1;[15, 16, 17, 18, 19, 20, 21];0.92;ok;['bloco_encerrado_por_separador', 'validacao:total_confere'];"TE REDUCAO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:25MMX3/4BSP;BUCHA LATAO:BUCHA LATAO;FABRICANTE/REFERENCIA:AMANCO/10423;AMANCO/11844;TIGRE/35288376";50.0;UN;1050756;True;505;TE SOLD C/BUCHA LATAO 25MM X 3/4;TE SOLDAVEL C BUCHA LATAO 25MM X 3 4;CONEXOES SOLD.C/ BUCHA DE LATAO;AF;PC;20.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;TE;False;25.0;0.0462999999999999;50.0;UN;50.0;ORIGINAL_NAO_TUBO;;PC;50.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;50.0
20;1101046;"CORPO CAIXA SIFONADA;MATERIAL:PVC;COR:BRANCO;REFORCO:S/;DIMENSOES:100X150X50MM;NUMER O ENTRADAS LATERAIS:C/3 ENT LATERAIS 50MM;DADOS EXTRAS:USO:ESGOTO;NORMA:NBR 7362/5688";"CORPO CAIXA SIFONADA;MATERIAL:PVC;COR:BRANCO;REFORCO:S/;DIMENSOES:100X150X50MM;NUMER O ENTRADAS LATERAIS:C/3 ENT LATERAIS 50MM;DADOS EXTRAS:USO:ESGOTO;NORMA:NBR 7362/5688";100.0;UN;UN;19.38;1938.0;1;[22, 23, 24, 25, 26, 27, 28];0.92;ok;['bloco_encerrado_por_separador', 'validacao:total_confere'];"CORPO CAIXA SIFONADA;MATERIAL:PVC;COR:BRANCO;REFORCO:S/;DIMENSOES:100X150X50MM;NUMER O ENTRADAS LATERAIS:C/3 ENT LATERAIS 50MM;DADOS EXTRAS:USO:ESGOTO;NORMA:NBR 7362/5688";100.0;UN;1101046;True;930;CORPO CX. SIFONADA NR.32 100X150X50;CORPO CX. SIFONADA NR.32 100X150X50;CAIXAS E RALOS;ESGOTO;PC;6.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;;False;;0.176;100.0;UN;100.0;ORIGINAL_NAO_TUBO;;PC;100.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;100.0
30;1101382;"TUBO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:20MM;COMPRIMENTO:6000MM;DADOS EXTRAS:COR:MARROM;NORMA:NBR 5648";"TUBO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:20MM;COMPRIMENTO:6000MM;DADOS EXTRAS:COR:MARROM;NORMA:NBR 5648";200.0;UN;UN;9.55;1910.0;1;[29, 30, 31];0.8;ok_com_ressalvas;['bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:total_confere'];"TUBO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:20MM;COMPRIMENTO:6000MM;DADOS EXTRAS:COR:MARROM;NORMA:NBR 5648";200.0;UN;1101382;True;23;TUBO PVC SOLDAVEL - 6M - 20MM;TUBO PVC SOLDAVEL - 6M - 20MM;TUBOS PVC SOLDAVEL;AF;BR;12.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;TUBO;True;20.0;6.0;200.0;UN;200.0;BARRA_DIRETA_OC_UN;1.0;BR;200.0;BARRA_DIRETA_OC_UN;BARRA_DIRETA_OC_UN;False;200.0
40;1101547;"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:75MM;SERIE:NORMAL;DADOS EXTRAS:NORMAS:NBR 7362/5688";"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:75MM;SERIE:NORMAL;DADOS EXTRAS:NORMAS:NBR 7362/5688";50.0;UN;UN;4.3;215.0;2;[19, 20, 21, 22, 23, 24, 25];0.92;ok;['bloco_encerrado_por_separador', 'validacao:total_confere'];"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:75MM;SERIE:NORMAL;DADOS EXTRAS:NORMAS:NBR 7362/5688";50.0;UN;1101547;True;613;JOELHO 45 ESGOTO PRIM - DN 75;JOELHO 45 ESGOTO PRIMARIO - DN 75;CONEXOES ESGOTO PRIMARIO;ESGOTO;PC;10.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;JOELHO;False;75.0;0.09;50.0;UN;50.0;ORIGINAL_NAO_TUBO;;PC;50.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;50.0
50;1103781;"LUVA PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:25MMX3/4BSP;ACESSORIO:C/BU CHA LATAO;DADOS EXTRAS:NORMA:NBR 5648";"LUVA PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:25MMX3/4BSP;ACESSORIO:C/BU CHA LATAO;DADOS EXTRAS:NORMA:NBR 5648";100.0;UN;UN;3.74;374.0;2;[26, 27, 28, 29, 30, 31];0.8;ok_com_ressalvas;['bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:total_confere'];"LUVA PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:25MMX3/4BSP;ACESSORIO:C/BU CHA LATAO;DADOS EXTRAS:NORMA:NBR 5648";100.0;UN;1103781;True;502;LUVA SOLD C/BUCHA LATAO 25MM X 3/4;LUVA SOLDAVEL C BUCHA LATAO 25MM X 3 4;CONEXOES SOLD.C/ BUCHA DE LATAO;AF;PC;20.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;LUVA;False;25.0;0.039;100.0;UN;100.0;ORIGINAL_NAO_TUBO;;PC;100.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;100.0
