DESCRICAO;CODIGO;QUANTIDADE
TE SOLD C/BUCHA LATAO 25MM X 3/4;505;50.0
CORPO CX. SIFONADA NR.32 100X150X50;930;100.0
TUBO PVC SOLDAVEL - 6M - 20MM;23;200.0
JOELHO 45 ESGOTO PRIM - DN 75;613;50.0
LUVA SOLD C/BUCHA LATAO 25MM X 3/4;502;100.0
